,ZCTA5CE10,GEOID10,INTPTLAT10,INTPTLON10
218,04686,04686,+44.9965366,-067.6940265
219,04691,04691,+44.7603219,-067.2550471
220,04693,04693,+44.3764932,-068.0936238
221,04694,04694,+45.1150831,-067.4775409
222,04730,04730,+46.1910425,-067.8610283
223,04942,04942,+45.0770225,-069.5864458
224,04943,04943,+44.8798231,-069.5205004
225,04944,04944,+44.6926466,-069.6467179
226,04945,04945,+45.8697187,-070.2663463
227,04947,04947,+45.0495487,-070.2694856
228,04949,04949,+44.3710304,-069.3336639
229,04950,04950,+44.8263541,-069.7997127
230,04951,04951,+44.6075163,-069.0707601
231,04952,04952,+44.4127965,-069.1547905
232,04953,04953,+44.8603002,-069.2366981
233,04732,04732,+46.3274933,-068.9391985
234,04733,04733,+45.7574784,-068.4041523
235,04734,04734,+46.4680011,-067.9563371
236,04735,04735,+46.4163860,-067.8667877
237,04736,04736,+46.9095320,-068.0260955
238,04739,04739,+46.9959058,-068.6729268
239,04955,04955,+44.6472065,-069.9933366
240,04956,04956,+44.8079063,-070.1098402
241,04957,04957,+44.7020674,-069.8433723
242,04958,04958,+44.8990671,-069.9188363
243,04961,04961,+45.1377787,-070.1442927
244,04962,04962,+44.4890771,-069.6259460
245,04963,04963,+44.5890066,-069.8873094
246,04964,04964,+44.8669162,-070.7740978
247,04965,04965,+44.8431509,-069.3683556
248,04966,04966,+44.8146987,-070.4273112
249,04967,04967,+44.7698405,-069.4336701
250,04969,04969,+44.7852850,-069.2362750
251,04740,04740,+46.6333043,-067.8476235
252,04741,04741,+47.4537120,-069.2229208
253,04742,04742,+46.7762407,-067.8591970
254,04743,04743,+47.2002665,-068.6143326
255,04745,04745,+47.2821013,-068.3887833
256,04746,04746,+47.2566646,-068.1361424
257,04747,04747,+46.0049716,-068.2337707
258,04750,04750,+46.9550643,-067.8577235
259,04756,04756,+47.3280793,-068.3035248
260,04970,04970,+45.0082783,-070.6179495
261,04971,04971,+44.9296800,-069.3912779
262,04973,04973,+44.3621925,-069.1939303
263,04974,04974,+44.4710356,-068.9274346
264,12438,12438,+42.2050438,-074.6010756
265,12439,12439,+42.2778180,-074.2103910
266,12440,12440,+41.7811511,-074.1728763
267,12441,12441,+42.1344225,-074.5092148
268,12442,12442,+42.1820105,-074.2229759
269,12443,12443,+41.9349906,-074.0849252
270,12444,12444,+42.2642326,-074.2975199
271,12446,12446,+41.8090543,-074.3264428
272,12526,12526,+42.1222344,-073.8587688
273,12527,12527,+41.5194262,-073.9356704
274,12760,12760,+41.9039305,-075.1078349
275,12872,12872,+43.8746558,-073.7344175
276,12873,12873,+43.1174512,-073.3116462
277,13039,13039,+43.1721420,-076.0562490
278,13138,13138,+42.8990867,-076.0146336
279,13140,13140,+43.0603812,-076.6502736
280,13141,13141,+42.7524945,-076.1856968
281,13142,13142,+43.5548992,-076.1378721
282,13143,13143,+43.2357878,-076.7147926
283,13144,13144,+43.5687467,-075.9770226
284,13145,13145,+43.6503190,-076.1191408
285,13146,13146,+43.0856451,-076.7501908
286,13147,13147,+42.7754061,-076.5696080
287,13425,13425,+42.9647932,-075.4870603
288,13428,13428,+42.9150708,-074.5462380
289,13431,13431,+43.2090815,-075.0733281
290,13433,13433,+43.5895180,-075.2424171
291,13435,13435,+43.3049812,-075.1507722
